month;soil.depth;dist;soil.moist;rep
AB-2018;P1-20;D1-0.5;9,091;a
AB-2018;P1-20;D1-0.5;7,692;b
AB-2018;P1-20;D1-0.5;12,667;c
AB-2018;P1-20;D2-1.5;8,333;a
AB-2018;P1-20;D2-1.5;9,375;b
AB-2018;P1-20;D2-1.5;10,505;c
AB-2018;P1-20;ctrl-S/B;9,53;a
AB-2018;P1-20;ctrl-S/B;7,692;b
AB-2018;P1-20;ctrl-S/B;6,969;c
AB-2018;P2-30;D0;7,143;a
AB-2018;P2-30;D0;9,091;b
AB-2018;P2-30;D0;7,692;c
AB-2018;P2-30;D1-0.5;7,692;a
AB-2018;P2-30;D1-0.5;7,692;b
AB-2018;P2-30;D1-0.5;7,692;c
AB-2018;P2-30;D2-1.5;7,692;a
AB-2018;P2-30;D2-1.5;7,692;b
AB-2018;P2-30;D2-1.5;9,091;c
AB-2018;P2-30;ctrl-S/B;6,14;a
AB-2018;P2-30;ctrl-S/B;7,002;b
AB-2018;P2-30;ctrl-S/B;6,17;c
AB-2018;P3-40;D0;12,043;a
AB-2018;P3-40;D0;7,692;b
AB-2018;P3-40;D0;9,091;c
AB-2018;P3-40;D1-0.5;9,111;a
AB-2018;P3-40;D1-0.5;6,667;b
AB-2018;P3-40;D1-0.5;7,692;c
AB-2018;P3-40;D2-1.5;10,035;a
AB-2018;P3-40;D2-1.5;7,143;b
AB-2018;P3-40;D2-1.5;12,667;c
AB-2018;P3-40;ctrl-S/B;9,05;a
AB-2018;P3-40;ctrl-S/B;6,02;b
AB-2018;P3-40;ctrl-S/B;8,034;c
AB-2018;P4-50;D0;15,789;a
AB-2018;P4-50;D0;6,25;b
AB-2018;P4-50;D0;14,667;c
AB-2018;P4-50;D1-0.5;12,286;a
AB-2018;P4-50;D1-0.5;8,25;b
AB-2018;P4-50;D1-0.5;12,091;c
AB-2018;P4-50;D2-1.5;14,035;a
AB-2018;P4-50;D2-1.5;8,692;b
AB-2018;P4-50;D2-1.5;13,182;c
AB-2018;P4-50;ctrl-S/B;8,33;a
AB-2018;P4-50;ctrl-S/B;8,563;b
AB-2018;P4-50;ctrl-S/B;7,993;c
MY-2018;P1-20;D0;7,143;a
MY-2018;P1-20;D0;6,92;b
MY-2018;P1-20;D0;7,692;c
MY-2018;P1-20;D1-0.5;7,692;a
MY-2018;P1-20;D1-0.5;5,031;b
MY-2018;P1-20;D1-0.5;6,091;c
MY-2018;P1-20;D2-1.5;5,091;a
MY-2018;P1-20;D2-1.5;6,482;b
MY-2018;P1-20;D2-1.5;6,333;c
MY-2018;P1-20;ctrl-S/B;5,14;a
MY-2018;P1-20;ctrl-S/B;4,78;b
MY-2018;P1-20;ctrl-S/B;4,66;c
MY-2018;P2-30;D0;7,692;a
MY-2018;P2-30;D0;6,287;b
MY-2018;P2-30;D0;7,143;c
MY-2018;P2-30;D1-0.5;7,692;a
MY-2018;P2-30;D1-0.5;9,91;b
MY-2018;P2-30;D1-0.5;7,692;c
MY-2018;P2-30;D2-1.5;9,091;a
MY-2018;P2-30;D2-1.5;9,99;b
MY-2018;P2-30;D2-1.5;7,692;c
MY-2018;P2-30;ctrl-S/B;6,714;a
MY-2018;P2-30;ctrl-S/B;5,997;b
MY-2018;P2-30;ctrl-S/B;5,714;c
MY-2018;P3-40;D0;12,647;a
MY-2018;P3-40;D0;12,989;b
MY-2018;P3-40;D0;11,111;c
MY-2018;P3-40;D1-0.5;12,667;a
MY-2018;P3-40;D1-0.5;9,063;b
MY-2018;P3-40;D1-0.5;10,069;c
MY-2018;P3-40;D2-1.5;14,667;a
MY-2018;P3-40;D2-1.5;8,173;b
MY-2018;P3-40;D2-1.5;10,169;c
MY-2018;P3-40;ctrl-S/B;9,7;a
